#AccessRule,user,domain,typeId,permission,principal,permissionList,state,allExceptPrincipal
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductConfiguration,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductConfiguration,+,teamMembers,0/1/2/5/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0/1/2/5/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.WTProductInstance2,+,teamMembers,0/7,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,1/2/5/11/12/13/14,INWORK,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,OBSOLESCENCE,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,PROTOTYPE,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.part.alternaterep.WTPartAlternateRep,+,teamMembers,0/10,UNDERREVIEW,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.vc.baseline.ManagedBaseline,+,teamMembers,0,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default,WCTYPE|wt.vc.baseline.ManagedBaseline,+,teamMembers,0/1/2/5/12/13/14/16,INWORK,false
#AccessRule,user,domain,typeId,permission,principal,permissionList,state,allExceptPrincipal
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_EE_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_HARNESS_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_MANUFACTURER_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_MCAD_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_PROCESS_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_QUALITY_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_SE_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CATL_THERMAL_EMULATION_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CERTIFICATION_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,CUSTOMER_SERVICE_REPRESENT,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,DEVELOP_REPRESENT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,DOCUMENT_CONTROLLER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,EE_SYSTEM_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,HARDWARE_ENGINEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,MANUFACTURE_REPRESENT,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,MATERIAL_CONTROL,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,POST_SALES_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PROCESS_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PROCUREMENT_REPRESENT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCTION_SUPERVISOR,0/10,RELEASED,false
