#Group,user,groupName,description,DirectoryService
Group,,EE组,,
Group,,SE组,,
Group,,测试组,,
Group,,工艺组,,
Group,,结构组,,
Group,,客服组,,
Group,,热管理仿真组,,
Group,,设备组,,
Group,,线束组,,
Group,,制造组,,
Group,,质量组,,
,,,,
,,,,
,,,,
