#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,EE组,,60002705,
UserGroup,,EE组,,60002709,
UserGroup,,EE组,,60002708,
UserGroup,,EE组,,60002706,
UserGroup,,EE组,,60010119,
UserGroup,,EE组,,60010141,
UserGroup,,EE组,,60010117,
UserGroup,,EE组,,60010124,
UserGroup,,EE组,,60010113,
UserGroup,,EE组,,60010134,
UserGroup,,EE组,,60008319,
UserGroup,,EE组,,60008013,
UserGroup,,EE组,,60008797,
UserGroup,,EE组,,60008804,
UserGroup,,EE组,,60008811,
UserGroup,,EE组,,60009631,
UserGroup,,EE组,,60009647,
UserGroup,,EE组,,60008789,
UserGroup,,EE组,,60010431,
UserGroup,,EE组,,60000866,
UserGroup,,EE组,,60009652,
UserGroup,,EE组,,60008012,
UserGroup,,EE组,,60011147,
UserGroup,,EE组,,60000176,
UserGroup,,EE组,,60010109,
UserGroup,,EE组,,60010140,
UserGroup,,EE组,,60010143,
UserGroup,,EE组,,60009659,
UserGroup,,EE组,,60002702,
UserGroup,,EE组,,60007567,
UserGroup,,EE组,,60010111,
UserGroup,,EE组,,60006510,
UserGroup,,EE组,,60008810,
UserGroup,,EE组,,60009633,
UserGroup,,EE组,,60008815,
UserGroup,,EE组,,60009638,
UserGroup,,EE组,,60010158,
UserGroup,,EE组,,60008819,
UserGroup,,EE组,,60008814,
UserGroup,,EE组,,60008593,
UserGroup,,EE组,,60010125,
UserGroup,,EE组,,60010116,
UserGroup,,EE组,,60010114,
UserGroup,,EE组,,60012781,
UserGroup,,EE组,,60006225,
UserGroup,,EE组,,60001278,
UserGroup,,EE组,,60007786,
UserGroup,,EE组,,60010142,
UserGroup,,EE组,,60008165,
UserGroup,,EE组,,60009657,
UserGroup,,EE组,,60008808,
UserGroup,,EE组,,60008813,
UserGroup,,SE组,,60000072,
UserGroup,,SE组,,60000199,
UserGroup,,SE组,,60000287,
UserGroup,,SE组,,60000437,
UserGroup,,SE组,,60000225,
UserGroup,,SE组,,60009654,
UserGroup,,SE组,,60000085,
UserGroup,,SE组,,60011140,
UserGroup,,SE组,,60002828,
UserGroup,,SE组,,60003152,
UserGroup,,SE组,,60003203,
UserGroup,,SE组,,60006499,
UserGroup,,SE组,,60000107,
UserGroup,,SE组,,60002488,
UserGroup,,SE组,,60012420,
UserGroup,,SE组,,60002390,
UserGroup,,SE组,,60000264,
UserGroup,,SE组,,60000358,
UserGroup,,SE组,,60001073,
UserGroup,,SE组,,60007383,
UserGroup,,SE组,,60007728,
UserGroup,,SE组,,60008320,
UserGroup,,SE组,,60008792,
UserGroup,,SE组,,60009660,
UserGroup,,SE组,,60010900,
UserGroup,,SE组,,60010901,
UserGroup,,SE组,,60000640,
UserGroup,,SE组,,60001060,
UserGroup,,SE组,,60000402,
UserGroup,,SE组,,60001680,
UserGroup,,SE组,,60009016,
UserGroup,,SE组,,60009656,
UserGroup,,SE组,,60011003,
UserGroup,,SE组,,60010733,
UserGroup,,SE组,,60011141,
UserGroup,,SE组,,60011888,
UserGroup,,SE组,,60011774,
UserGroup,,SE组,,60000003,
UserGroup,,SE组,,60002454,
UserGroup,,SE组,,60001522,
UserGroup,,SE组,,60001142,
UserGroup,,SE组,,60000371,
UserGroup,,SE组,,60000403,
UserGroup,,SE组,,60008596,
UserGroup,,SE组,,60008595,
UserGroup,,SE组,,60008791,
UserGroup,,SE组,,60001350,
UserGroup,,SE组,,60009533,
UserGroup,,SE组,,60010506,
UserGroup,,SE组,,60011004,
UserGroup,,SE组,,60011142,
UserGroup,,SE组,,60011548,
UserGroup,,SE组,,60012362,
UserGroup,,SE组,,60012601,
UserGroup,,测试组,,60006520,
UserGroup,,测试组,,60000289,
UserGroup,,测试组,,60004939,
UserGroup,,测试组,,60012160,
UserGroup,,测试组,,60000522,
UserGroup,,测试组,,60005930,
UserGroup,,测试组,,60000394,
UserGroup,,测试组,,60000517,
UserGroup,,测试组,,60004884,
UserGroup,,测试组,,60000454,
UserGroup,,测试组,,60000642,
UserGroup,,测试组,,60006498,
UserGroup,,测试组,,60002457,
UserGroup,,工艺组,,60003159,
UserGroup,,工艺组,,60007568,
UserGroup,,工艺组,,60002223,
UserGroup,,工艺组,,60002199,
UserGroup,,工艺组,,60002228,
UserGroup,,工艺组,,60002227,
UserGroup,,工艺组,,60011527,
UserGroup,,工艺组,,60002226,
UserGroup,,工艺组,,60001329,
UserGroup,,工艺组,,60009462,
UserGroup,,工艺组,,60001334,
UserGroup,,工艺组,,60001335,
UserGroup,,工艺组,,60001331,
UserGroup,,工艺组,,60001333,
UserGroup,,工艺组,,60001337,
UserGroup,,工艺组,,60001339,
UserGroup,,工艺组,,60002221,
UserGroup,,工艺组,,60002225,
UserGroup,,工艺组,,60007071,
